(0.7498802121394603+0j),1.0
(0.7495052720333907+2.876523888875604e-18j),0.999
(0.7491303319273207-3.845529580534508e-19j),0.998
(0.7487553918212511+1.9007419336386496e-18j),0.997
(0.7483804517151814-3.117081245895829e-19j),0.996
(0.7480055116091116-1.282407882143011e-18j),0.995
(0.7476305715030418-2.4835006013496086e-18j),0.994
(0.7472556313969722+3.294111131871974e-18j),0.993
(0.7468806912909025+4.3800073702519886e-18j),0.992
(0.7465057511848326+6.750852589616774e-19j),0.991
(0.746130811078763-2.3640689557867522e-18j),0.99
(0.7457558709726934-1.981210063627808e-18j),0.989
(0.7453809308666235+3.3822025583864213e-18j),0.988
(0.7450059907605538+3.3296865156566554e-18j),0.987
(0.744631050654484+2.687635541637895e-18j),0.986
(0.7442561105484143-2.6376605977498916e-18j),0.985
