(1.0000000000000002+0j),1.0
(0.9589965752142381-6.5052130349130266e-18j),0.9998
(0.9204058199285017-1.235990476633475e-17j),0.9996
(0.884068881783046-1.0842021724855044e-18j),0.9994
(0.8498380718569533-3.469446951953614e-18j),0.9992
(0.8175760479171392-7.589415207398531e-18j),0.999
(0.7871550589610705-3.903127820947816e-18j),0.9988
(0.7584562463782079-6.071532165918825e-18j),0.9986
(0.7313689974158103+5.204170427930421e-18j),0.9984
(0.7057903469669443+8.890457814381136e-18j),0.9982
(0.6816244240047518+6.071532165918825e-18j),0.998
(0.6587819392702899+1.734723475976807e-18j),0.9978
(0.6371797110816094+5.204170427930421e-18j),0.9976
(0.6167402263726421+6.5052130349130266e-18j),0.9974
(0.5973912342925101+4.336808689942018e-18j),0.9972
(0.5790653699004469+6.938893903907228e-18j),0.997
