CMDLINE python circuit.py 1
MEM 1.960938 1564381254.6310
MEM 40.226562 1564381254.7377
MEM 53.847656 1564381254.8450
MEM 64.484375 1564381254.9556
MEM 66.289062 1564381255.0622
MEM 77.878906 1564381255.1694
MEM 88.839844 1564381255.2816
MEM 97.500000 1564381255.3885
MEM 109.746094 1564381255.4976
MEM 128.535156 1564381255.6063
MEM 141.894531 1564381255.7134
MEM 153.480469 1564381255.8204
MEM 157.046875 1564381255.9273
MEM 124.777344 1564381256.0341
MEM 132.945312 1564381256.1407
MEM 152.062500 1564381256.2498
MEM 592.078125 1564381256.3568
MEM 152.746094 1564381256.4637
MEM 152.000000 1564381256.5719
