CMDLINE python circuit.py 1
MEM 1.945312 1564248286.7233
MEM 39.148438 1564248286.8348
MEM 49.800781 1564248286.9448
MEM 61.324219 1564248287.0547
MEM 65.328125 1564248287.1670
MEM 66.574219 1564248287.2763
MEM 74.730469 1564248287.3843
MEM 80.390625 1564248287.4971
MEM 95.152344 1564248287.6096
MEM 98.484375 1564248287.7189
MEM 109.855469 1564248287.8289
MEM 117.554688 1564248287.9362
MEM 139.949219 1564248288.0433
MEM 148.898438 1564248288.1532
MEM 156.636719 1564248288.2628
MEM 119.226562 1564248288.3695
MEM 120.847656 1564248288.4761
MEM 121.101562 1564248288.5832
