(0.9217843160214719+6.687419646541331e-19j),10
(0.5693211112873906-2.6020852139652106e-18j),20
(0.6386333399886152+2.168404344971009e-18j),30
(0.3025608477941238+1.1926223897340549e-18j),40
(0.14838104475244307+6.505213034913027e-19j),50
