 (0.026+0.000j)  (0.007+0.003j)  (0.019-0.016j)  (-0.010-0.019j)  (0.017-0.015j)  (-0.026+0.021j)  (0.001+0.033j)  (0.019+0.017j)  (-0.005+0.003j)  (0.003+0.023j)  (-0.001+0.013j)  (0.018+0.025j)  (-0.004+0.041j)  (-0.003-0.007j)  (-0.048-0.006j)  (-0.031+0.022j)  (0.036+0.020j)  (0.018+0.003j)  (0.032-0.015j)  (0.005-0.024j)  (0.013+0.000j)  (-0.046+0.014j)  (-0.015+0.043j)  (0.006+0.029j)  (0.026-0.027j)  (0.001-0.015j)  (-0.031-0.007j)  (0.009+0.028j)  (-0.009+0.015j)  (0.025-0.007j)  (-0.005-0.010j)  (-0.010-0.007j)
 (0.018-0.025j)  (0.008-0.005j)  (-0.002-0.029j)  (-0.025-0.003j)  (-0.003-0.026j)  (0.002+0.039j)  (0.032+0.021j)  (0.029-0.007j)  (-0.001+0.007j)  (0.024+0.013j)  (0.011+0.010j)  (0.036+0.000j)  (0.036+0.031j)  (-0.009-0.002j)  (-0.038+0.041j)  (-0.000+0.045j)  (0.044-0.020j)  (0.015-0.015j)  (0.007-0.040j)  (-0.019-0.021j)  (0.009-0.012j)  (-0.018+0.053j)  (0.030+0.043j)  (0.031+0.014j)  (-0.008-0.043j)  (-0.013-0.011j)  (-0.028+0.025j)  (0.033+0.010j)  (0.008+0.019j)  (0.010-0.029j)  (-0.013-0.002j)  (-0.013+0.004j)
 (-0.004-0.041j)  (0.004-0.011j)  (-0.027-0.027j)  (-0.028+0.018j)  (-0.025-0.024j)  (0.036+0.037j)  (0.050-0.007j)  (0.022-0.032j)  (0.005+0.007j)  (0.035-0.008j)  (0.020-0.000j)  (0.036-0.031j)  (0.063+0.000j)  (-0.011+0.005j)  (-0.003+0.074j)  (0.039+0.045j)  (0.026-0.058j)  (0.002-0.028j)  (-0.027-0.046j)  (-0.038-0.004j)  (-0.002-0.019j)  (0.028+0.068j)  (0.068+0.017j)  (0.044-0.013j)  (-0.046-0.036j)  (-0.023+0.001j)  (-0.006+0.048j)  (0.042-0.019j)  (0.024+0.012j)  (-0.015-0.037j)  (-0.015+0.010j)  (-0.010+0.016j)
 (-0.003+0.007j)  (-0.002+0.002j)  (0.002+0.007j)  (0.006-0.001j)  (0.002+0.006j)  (-0.003-0.009j)  (-0.009-0.003j)  (-0.007+0.004j)  (-0.000-0.002j)  (-0.007-0.002j)  (-0.003-0.002j)  (-0.009+0.002j)  (-0.011-0.005j)  (0.002+0.000j)  (0.007-0.012j)  (-0.003-0.011j)  (-0.009+0.008j)  (-0.003+0.005j)  (0.001+0.010j)  (0.006+0.004j)  (-0.001+0.003j)  (0.001-0.014j)  (-0.010-0.009j)  (-0.009-0.002j)  (0.005+0.010j)  (0.004+0.002j)  (0.005-0.008j)  (-0.009-0.001j)  (-0.003-0.004j)  (-0.001+0.008j)  (0.003-0.000j)  (0.003-0.002j)
 (-0.048+0.006j)  (-0.013-0.004j)  (-0.031+0.033j)  (0.022+0.032j)  (-0.027+0.031j)  (0.042-0.044j)  (-0.011-0.058j)  (-0.039-0.025j)  (0.008-0.006j)  (-0.011-0.041j)  (-0.001-0.023j)  (-0.038-0.041j)  (-0.003-0.074j)  (0.007+0.012j)  (0.088+0.000j)  (0.051-0.048j)  (-0.070-0.028j)  (-0.034-0.002j)  (-0.053+0.034j)  (-0.003+0.045j)  (-0.023+0.003j)  (0.080-0.036j)  (0.017-0.081j)  (-0.018-0.051j)  (-0.041+0.056j)  (0.002+0.027j)  (0.057+0.005j)  (-0.024-0.049j)  (0.013-0.029j)  (-0.044+0.019j)  (0.012+0.017j)  (0.019+0.011j)
 (-0.031-0.022j)  (-0.006-0.010j)  (-0.036+0.002j)  (-0.004+0.031j)  (-0.033+0.003j)  (0.049-0.003j)  (0.026-0.040j)  (-0.009-0.036j)  (0.008+0.001j)  (0.016-0.030j)  (0.012-0.014j)  (-0.000-0.045j)  (0.039-0.045j)  (-0.003+0.011j)  (0.051+0.048j)  (0.056+0.000j)  (-0.025-0.054j)  (-0.019-0.019j)  (-0.049-0.009j)  (-0.026+0.024j)  (-0.015-0.011j)  (0.066+0.022j)  (0.054-0.038j)  (0.018-0.039j)  (-0.054+0.010j)  (-0.014+0.016j)  (0.030+0.034j)  (0.013-0.041j)  (0.023-0.009j)  (-0.036-0.013j)  (-0.003+0.017j)  (0.005+0.017j)
 (0.036-0.020j)  (0.012-0.001j)  (0.014-0.036j)  (-0.028-0.018j)  (0.012-0.034j)  (-0.019+0.049j)  (0.027+0.043j)  (0.039+0.008j)  (-0.005+0.008j)  (0.022+0.029j)  (0.008+0.018j)  (0.044+0.020j)  (0.026+0.058j)  (-0.009-0.008j)  (-0.070+0.028j)  (-0.025+0.054j)  (0.065+0.000j)  (0.027-0.009j)  (0.032-0.044j)  (-0.012-0.037j)  (0.017-0.010j)  (-0.052+0.054j)  (0.012+0.070j)  (0.030+0.035j)  (0.015-0.058j)  (-0.010-0.021j)  (-0.047+0.014j)  (0.034+0.031j)  (-0.001+0.027j)  (0.029-0.029j)  (-0.015-0.010j)  (-0.019-0.003j)
 (0.018-0.003j)  (0.005+0.001j)  (0.011-0.013j)  (-0.009-0.012j)  (0.010-0.012j)  (-0.015+0.018j)  (0.005+0.022j)  (0.015+0.009j)  (-0.003+0.003j)  (0.005+0.015j)  (0.001+0.009j)  (0.015+0.015j)  (0.002+0.028j)  (-0.003-0.005j)  (-0.034+0.002j)  (-0.019+0.019j)  (0.027+0.009j)  (0.013+0.000j)  (0.020-0.014j)  (0.001-0.017j)  (0.009-0.002j)  (-0.030+0.015j)  (-0.005+0.031j)  (0.008+0.019j)  (0.015-0.022j)  (-0.001-0.010j)  (-0.022-0.001j)  (0.010+0.018j)  (-0.004+0.011j)  (0.016-0.008j)  (-0.005-0.006j)  (-0.007-0.004j)
 (0.032+0.015j)  (0.007+0.007j)  (0.032-0.008j)  (-0.001-0.028j)  (0.029-0.008j)  (-0.043+0.011j)  (-0.016+0.040j)  (0.014+0.030j)  (-0.007+0.001j)  (-0.009+0.029j)  (-0.009+0.015j)  (0.007+0.040j)  (-0.027+0.046j)  (0.001-0.010j)  (-0.053-0.034j)  (-0.049+0.009j)  (0.032+0.044j)  (0.020+0.014j)  (0.045+0.000j)  (0.019-0.026j)  (0.015+0.007j)  (-0.062-0.009j)  (-0.042+0.043j)  (-0.009+0.038j)  (0.046-0.018j)  (0.009-0.017j)  (-0.033-0.025j)  (-0.004+0.039j)  (-0.019+0.012j)  (0.034+0.005j)  (-0.001-0.015j)  (-0.007-0.014j)
 (0.005+0.024j)  (-0.002+0.007j)  (0.018+0.015j)  (0.015-0.013j)  (0.017+0.013j)  (-0.024-0.020j)  (-0.029+0.008j)  (-0.011+0.021j)  (-0.004-0.004j)  (-0.021+0.007j)  (-0.012+0.001j)  (-0.019+0.021j)  (-0.038+0.004j)  (0.006-0.004j)  (-0.003-0.045j)  (-0.026-0.024j)  (-0.012+0.037j)  (0.001+0.017j)  (0.019+0.026j)  (0.023+0.000j)  (0.002+0.011j)  (-0.021-0.039j)  (-0.042-0.006j)  (-0.025+0.011j)  (0.030+0.019j)  (0.014-0.002j)  (0.001-0.029j)  (-0.024+0.014j)  (-0.015-0.006j)  (0.011+0.022j)  (0.008-0.007j)  (0.005-0.010j)
 (0.013-0.000j)  (0.003+0.002j)  (0.009-0.007j)  (-0.005-0.009j)  (0.008-0.007j)  (-0.012+0.010j)  (0.001+0.015j)  (0.009+0.008j)  (-0.002+0.001j)  (0.002+0.011j)  (-0.001+0.006j)  (0.009+0.012j)  (-0.002+0.019j)  (-0.001-0.003j)  (-0.023-0.003j)  (-0.015+0.011j)  (0.017+0.010j)  (0.009+0.002j)  (0.015-0.007j)  (0.002-0.011j)  (0.006+0.000j)  (-0.022+0.007j)  (-0.007+0.020j)  (0.003+0.014j)  (0.012-0.013j)  (0.001-0.007j)  (-0.015-0.003j)  (0.004+0.013j)  (-0.004+0.007j)  (0.012-0.003j)  (-0.003-0.005j)  (-0.005-0.004j)
